class_x,family_x,genus_x,id,kingdom_x,name,order_x,phylum_x,supercategory,dir18,order_y,dir19,commonname,yose_score,yose_join,Scientific Name,Synonyms,Common Name,Occurrence,Occurrence Tags,Abundance,Nativeness,Nativeness Tags,marine,label
Polychaeta,Amphinomidae,Hermodice,0.0,Animalia,Hermodice carunculata,Phyllodocida,Annelida,Animalia,train_val2018/Animalia/0,,,Bearded fireworm,67,,,,,,,,,,True,Bearded fireworm
Polychaeta,Sabellariidae,Phragmatopoma,1.0,Animalia,Phragmatopoma californica,Sabellida,Annelida,Animalia,train_val2018/Animalia/1,,,,88,,,,,,,,,,True,Phragmatopoma californica
Polychaeta,Sabellidae,Eudistylia,2.0,Animalia,Eudistylia vancouveri,Sabellida,Annelida,Animalia,train_val2018/Animalia/2,,,,59,,,,,,,,,,True,Eudistylia vancouveri
Polychaeta,Serpulidae,Galeolaria,3.0,Animalia,Galeolaria hystrix,Sabellida,Annelida,Animalia,train_val2018/Animalia/3,,,,65,,,,,,,,,,True,Galeolaria hystrix
Polychaeta,Serpulidae,Serpula,4.0,Animalia,Serpula columbiana,Sabellida,Annelida,Animalia,train_val2018/Animalia/4,,,,72,,,,,,,,,,True,Serpula columbiana
Polychaeta,Serpulidae,Spirobranchus,5.0,Animalia,Spirobranchus cariniferus,Sabellida,Annelida,Animalia,train_val2018/Animalia/5,,,,65,,,,,,,,,,True,Spirobranchus cariniferus
Polychaeta,Serpulidae,Spirobranchus,6.0,Animalia,Spirobranchus giganteus,Sabellida,Annelida,Animalia,train_val2018/Animalia/6,,,Christmas tree worm,64,,,,,,,,,,True,Christmas tree worm
Arachnida,Phrynidae,Acanthophrynus,7.0,Animalia,Acanthophrynus coronatus,Amblypygi,Arthropoda,Arachnida,train_val2018/Arachnida/7,,,,81,,,,,,,,,,,Acanthophrynus coronatus
Arachnida,Amphinectidae,Metaltella,8.0,Animalia,Metaltella simoni,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/8,,,,59,,,,,,,,,,,Metaltella simoni
Arachnida,Araneidae,Araneus,9.0,Animalia,Araneus bicentenarius,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/9,,,,63,,,,,,,,,,,Araneus bicentenarius
Arachnida,Araneidae,Araneus,10.0,Animalia,Araneus diadematus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/10,,,Garden Cross Spider,65,,,,,,,,,,,Garden Cross Spider
Arachnida,Araneidae,Araneus,11.0,Animalia,Araneus gemma,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/11,,,Cat faced Orbweaver,62,,,,,,,,,,,Cat faced Orbweaver
Arachnida,Araneidae,Araniella,12.0,Animalia,Araniella displicata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/12,,,Sixspotted Orbweaver,79,,,,,,,,,,,Sixspotted Orbweaver
Arachnida,Araneidae,Argiope,13.0,Animalia,Argiope appensa,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/13,,,Hawaiian garden spider,60,,,,,,,,,,,Hawaiian garden spider
Arachnida,Araneidae,Argiope,14.0,Animalia,Argiope argentata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/14,,,Silver Argiope,67,,,,,,,,,,,Silver Argiope
Arachnida,Araneidae,Argiope,15.0,Animalia,Argiope aurantia,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/15,,,Black and yellow argiope,75,,,,,,,,,,,Black and yellow argiope
Arachnida,Araneidae,Argiope,16.0,Animalia,Argiope keyserlingi,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/16,,,St. Andrew's Cross Spider,58,,,,,,,,,,,St. Andrew's Cross Spider
Arachnida,Araneidae,Argiope,17.0,Animalia,Argiope lobata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/17,,,,71,,,,,,,,,,,Argiope lobata
Arachnida,Araneidae,Argiope,18.0,Animalia,Argiope trifasciata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/18,,,Banded Garden Spider,76,,,,,,,,,,,Banded Garden Spider
Arachnida,Araneidae,Colaranea,19.0,Animalia,Colaranea viriditas,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/19,,,,67,,,,,,,,,,,Colaranea viriditas
Arachnida,Araneidae,Cyclosa,20.0,Animalia,Cyclosa turbinata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/20,,,Orb weavers,62,,,,,,,,,,,Orb weavers
Arachnida,Araneidae,Cyrtophora,21.0,Animalia,Cyrtophora citricola,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/21,,,Tropical Tent web Spider,71,,,,,,,,,,,Tropical Tent web Spider
Arachnida,Araneidae,Eriophora,22.0,Animalia,Eriophora pustulosa,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/22,,,Garden Orbweb Spider,64,,,,,,,,,,,Garden Orbweb Spider
Arachnida,Araneidae,Eriophora,23.0,Animalia,Eriophora ravilla,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/23,,,Orb weavers,76,,,,,,,,,,,Orb weavers
Arachnida,Araneidae,Gasteracantha,24.0,Animalia,Gasteracantha cancriformis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/24,,,Crab like Spiny Orbweaver,64,,,,,,,,,,,Crab like Spiny Orbweaver
Arachnida,Araneidae,Gea,25.0,Animalia,Gea heptagon,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/25,,,,70,,,,,,,,,,,Gea heptagon
Arachnida,Araneidae,Mangora,26.0,Animalia,Mangora acalypha,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/26,,,,70,,,,,,,,,,,Mangora acalypha
Arachnida,Araneidae,Mangora,27.0,Animalia,Mangora gibberosa,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/27,,,,64,,,,,,,,,,,Mangora gibberosa
Arachnida,Araneidae,Mecynogea,28.0,Animalia,Mecynogea lemniscata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/28,,,,60,,,,,,,,,,,Mecynogea lemniscata
Arachnida,Araneidae,Micrathena,29.0,Animalia,Micrathena mitrata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/29,,,,67,,,,,,,,,,,Micrathena mitrata
Arachnida,Araneidae,Neoscona,30.0,Animalia,Neoscona arabesca,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/30,,,Arabesque Orbweaver,64,,,,,,,,,,,Arabesque Orbweaver
Arachnida,Araneidae,Neoscona,31.0,Animalia,Neoscona crucifera,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/31,,,Hentz's Orbweaver,61,,,,,,,,,,,Hentz's Orbweaver
Arachnida,Araneidae,Neoscona,32.0,Animalia,Neoscona domiciliorum,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/32,,,Redfemured Spotted Orbweaver,59,,,,,,,,,,,Redfemured Spotted Orbweaver
Arachnida,Araneidae,Neoscona,33.0,Animalia,Neoscona oaxacensis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/33,,,Western spotted orbweaver,71,,,,,,,,,,,Western spotted orbweaver
Arachnida,Araneidae,Neoscona,34.0,Animalia,Neoscona orizabensis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/34,,,,65,,,,,,,,,,,Neoscona orizabensis
Arachnida,Araneidae,Nephila,35.0,Animalia,Nephila clavata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/35,,,,73,,,,,,,,,,,Nephila clavata
Arachnida,Araneidae,Nephila,36.0,Animalia,Nephila clavipes,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/36,,,,69,,,,,,,,,,,Nephila clavipes
Arachnida,Araneidae,Nephila,37.0,Animalia,Nephila pilipes,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/37,,,Golden Web Spider,73,,,,,,,,,,,Golden Web Spider
Arachnida,Araneidae,Nuctenea,38.0,Animalia,Nuctenea umbratica,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/38,,,Walnut Orbweaver Spider,75,,,,,,,,,,,Walnut Orbweaver Spider
Arachnida,Araneidae,Poecilopachys,39.0,Animalia,Poecilopachys australasia,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/39,,,Two spined Spider,60,,,,,,,,,,,Two spined Spider
Arachnida,Araneidae,Zygiella,40.0,Animalia,Zygiella x-notata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/40,,,Silver sided Sector Spider,59,,,,,,,,,,,Silver sided Sector Spider
Arachnida,Corinnidae,Nyssus,41.0,Animalia,Nyssus coloripes,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/41,,,,62,,,,,,,,,,,Nyssus coloripes
Arachnida,Ctenidae,Cupiennius,42.0,Animalia,Cupiennius salei,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/42,,,Wandering spiders,69,,,,,,,,,,,Wandering spiders
Arachnida,Ctenizidae,Bothriocyrtum,43.0,Animalia,Bothriocyrtum californicum,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/43,,,,81,,,,,,,,,,,Bothriocyrtum californicum
Arachnida,Dysderidae,Dysdera,44.0,Animalia,Dysdera crocata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/44,,,Woodlouse Spider,60,,,,,,,,,,,Woodlouse Spider
Arachnida,Filistatidae,Kukulcania,45.0,Animalia,Kukulcania hibernalis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/45,,,American Southern House Spider,67,,,,,,,,,,,American Southern House Spider
Arachnida,Gnaphosidae,Herpyllus,46.0,Animalia,Herpyllus ecclesiasticus,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/46,,,Parson Spider,61,,,,,,,,,,,Parson Spider
Arachnida,Hersiliidae,Neotama,47.0,Animalia,Neotama mexicana,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/47,,,,73,,,,,,,,,,,Neotama mexicana
Arachnida,Hexathelidae,Porrhothele,48.0,Animalia,Porrhothele antipodiana,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/48,,,,62,,,,,,,,,,,Porrhothele antipodiana
Arachnida,Lamponidae,Lampona,49.0,Animalia,Lampona murina,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/49,,,,67,,,,,,,,,,,Lampona murina
Arachnida,Linyphiidae,Neriene,50.0,Animalia,Neriene radiata,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/50,,,Filmy Dome Spider,76,,,,,,,,,,,Filmy Dome Spider
Arachnida,Lycosidae,Anoteropsis,51.0,Animalia,Anoteropsis litoralis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/51,,,,68,,,,,,,,,,,Anoteropsis litoralis
Arachnida,Nemesiidae,Calisoga,52.0,Animalia,Calisoga longitarsis,Araneae,Arthropoda,Arachnida,train_val2018/Arachnida/52,,,,62,,,,,,,,,,,Calisoga longitarsis
